experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,error
mem0_conv0_constrained,2026-05-03T14:22:48.650488+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,10,"[2023-05-08T13:56:00+00:00] Melanie: Wow, Caroline! What kinda jobs are you thinkin' of? Anything that stands out?",,1,,,,100.0,20.0,512.0,1972.2274510004354,1766.277534999972,205.94991600046342,7584000,145400000,0.0,0.0,0.0,77824,2117,518525,0,0.0,8356,0.00073206,8356,0.00073206,,,
mem0_conv0_constrained,2026-05-03T14:22:51.669851+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,11,[2023-05-08T13:56:00+00:00] Caroline: I'm keen on counseling or working in mental health - I'd love to support those wit,,1,,,,100.0,20.0,512.0,3018.6858219994974,2814.5196039995426,204.16621799995482,47049000,152039000,0.0,0.0,0.0,446464,5309,232283,0,0.0,8462,0.00076107,8462,0.00076107,,,
mem0_conv0_constrained,2026-05-03T14:22:53.538064+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,12,[2023-05-08T13:56:00+00:00] Melanie: You'd be a great counselor! Your empathy and understanding will really help the peo,,1,,,,100.0,20.0,512.0,1867.6110199994582,1661.331321999569,206.27969799988932,8901000,115853000,0.0,0.0,0.0,233472.0,2317,496780,0,0.0,8477,0.00073657,8477,0.00073657,,,
mem0_conv0_constrained,2026-05-03T14:22:55.564097+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,13,"[2023-05-08T13:56:00+00:00] Caroline: Thanks, Melanie! That's really sweet. Is this your own painting?",,1,,,,100.0,20.0,512.0,2025.3881039998305,1820.6197500003327,204.76835399949778,44964000,141331000,0.0,0.0,0.0,266240.0,5255,233112,0,0.0,8498,0.00075644,8498,0.00075644,,,
mem0_conv0_constrained,2026-05-03T14:22:57.808614+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,14,"[2023-05-08T13:56:00+00:00] Melanie: Yeah, I painted that lake sunrise last year! It's special to me.",,1,,,,100.0,20.0,512.0,2243.8870940004563,2037.4873380005738,206.39975599988247,8808000,142094000,0.0,0.0,0.0,81920.0,2025,518033,0,0.0,8525,0.00075941,8525,0.00075941,,,
mem0_conv0_constrained,2026-05-03T14:23:01.003328+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,15,"[2023-05-08T13:56:00+00:00] Caroline: Wow, Melanie! The colors really blend nicely. Painting looks like a great outlet f",,1,,,,100.0,20.0,512.0,3194.050830999913,2988.769320000756,205.28151099915704,48880000,161210000,0.0,0.0,0.0,442368.0,5381,242721,0,0.0,8571,0.00076642,8571,0.00076642,,,
mem0_conv0_constrained,2026-05-03T14:23:03.398218+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,16,"[2023-05-08T13:56:00+00:00] Melanie: Thanks, Caroline! Painting's a fun way to express my feelings and get creative. It'",,1,,,,100.0,20.0,512.0,2394.255164000242,2188.9242790002754,205.33088499996666,8186000,148520000,0.0,0.0,0.0,77824.0,2168,563033,0,0.0,8626,0.00078031,8626,0.00078031,,,
mem0_conv0_constrained,2026-05-03T14:23:05.316773+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,17,"[2023-05-08T13:56:00+00:00] Caroline: Totally agree, Mel. Relaxing and expressing ourselves is key. Well, I'm off to go ",,1,,,,100.0,20.0,512.0,1917.8937730002872,1713.016921000417,204.87685199987027,44897000,138819000,0.0,0.0,0.0,430080.0,6296,234291,0,0.0,8606,0.00076955,8606,0.00076955,,,
mem0_conv0_constrained,2026-05-03T14:23:07.469417+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,18,"[2023-05-08T13:56:00+00:00] Melanie: Yep, Caroline. Taking care of ourselves is vital. I'm off to go swimming with the k",,1,,,,100.0,20.0,512.0,2151.9435520003753,1946.8309439998848,205.11260800049058,8271000,157359000,0.0,0.0,0.0,86016.0,2193,770392,0,0.0,8639,0.00078155,8639,0.00078155,,,
mem0_conv0_constrained,2026-05-03T14:23:09.982294+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,19,"[2023-05-25T13:14:00+00:00] Melanie: Hey Caroline, since we last chatted, I've had a lot of things happening to me. I ra",,2,,,,100.0,20.0,512.0,2512.215138999636,2306.1753239999234,206.0398149997127,43372000,152212000,0.0,0.0,0.0,446464.0,2262,244463,0,0.0,8728,0.00079988,8728,0.00079988,,,
mem0_conv0_constrained,2026-05-03T14:23:12.640383+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,20,"[2023-05-25T13:14:00+00:00] Caroline: That charity race sounds great, Mel! Making a difference & raising awareness for m",,2,,,,100.0,20.0,512.0,2657.4298360001194,2452.141746000052,205.2880900000673,11288000,153665000,0.0,0.0,0.0,73728.0,5499,438291,0,0.0,8746,0.00080839,8746,0.00080839,,,
mem0_conv0_constrained,2026-05-03T14:23:15.153956+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,21,"[2023-05-25T13:14:00+00:00] Melanie: Thanks, Caroline! The event was really thought-provoking. I'm starting to realize t",,2,,,,100.0,20.0,512.0,2512.94099200004,2306.458064000253,206.48292799978663,44391000,149968000,0.0,0.0,0.0,471040,2256,244438,0,0.0,8773,0.00079891,8773,0.00079891,,,
mem0_conv0_constrained,2026-05-03T14:23:17.213662+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,22,"[2023-05-25T13:14:00+00:00] Caroline: I totally agree, Melanie. Taking care of ourselves is so important - even if it's ",,2,,,,100.0,20.0,512.0,2059.0466330004347,1850.1097810003557,208.93685200007894,10114000,135208000,0.0,0.0,0.0,77824.0,5416,680597,0,0.0,8770,0.00079612,8770,0.00079612,,,
mem0_conv0_constrained,2026-05-03T14:23:19.171704+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,23,"[2023-05-25T13:14:00+00:00] Melanie: Yeah, it's tough. So I'm carving out some me-time each day - running, reading, or p",,2,,,,100.0,20.0,512.0,1957.3477230005665,1599.0896270004669,358.2580960000996,8067000,145356000,0.0,0.0,0.0,81920.0,2204,249880,0,0.0,8764,0.0007945,8764,0.0007945,,,
mem0_conv0_constrained,2026-05-03T14:23:21.216311+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,24,"[2023-05-25T13:14:00+00:00] Caroline: That's great, Mel! Taking time for yourself is so important. You're doing an aweso",,2,,,,100.0,20.0,512.0,2043.9605680003297,1838.0247919994872,205.93577600084245,43523000,141415000,0.0,0.0,0.0,602112.0,5336,236212,0,0.0,8768,0.0007941,8768,0.0007941,,,
mem0_conv0_constrained,2026-05-03T14:23:31.078872+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,25,"[2023-05-25T13:14:00+00:00] Melanie: Thanks, Caroline. It's still a work in progress, but I'm doing my best. My kids are",,2,,,,100.0,20.0,512.0,9861.902325999836,9657.05174300001,204.85058299982484,96402000,287819000,0.0,0.0,0.0,454656,4321,670767,0,0.0,8826,0.0013539,8826,0.0013539,,,
mem0_conv0_constrained,2026-05-03T14:23:36.039335+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,26,[2023-05-25T13:14:00+00:00] Caroline: Researching adoption agencies — it's been a dream to have a family and give a lovi,,2,,,,100.0,20.0,512.0,4959.7937759999695,4753.979307000009,205.8144689999608,50070000,216840000,0.0,0.0,0.0,303104.0,4542,617582,0,0.0,8966,0.00086731,8966,0.00086731,,,
mem0_conv0_constrained,2026-05-03T14:23:38.272932+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,27,"[2023-05-25T13:14:00+00:00] Melanie: Wow, Caroline! That's awesome! Taking in kids in need - you're so kind. Your future",,2,,,,100.0,20.0,512.0,2232.942498999364,2027.367091999622,205.57540699974197,7994000,141727000,0.0,0.0,0.0,81920.0,2170,495634,0,0.0,8767,0.00080269,8767,0.00080269,,,
mem0_conv0_constrained,2026-05-03T14:23:44.337057+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,28,"[2023-05-25T13:14:00+00:00] Caroline: Thanks, Mel! My goal is to give kids a loving home. I'm truly grateful for all the",,2,,,,100.0,20.0,512.0,6063.506435000818,5858.345255000131,205.16118000068673,53142000,231551000,0.0,0.0,0.0,491520.0,5655,534202,0,0.0,9092,0.00088836,9092,0.00088836,,,
mem0_conv0_constrained,2026-05-03T14:23:46.622722+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,29,"[2023-05-25T13:14:00+00:00] Melanie: Wow, that agency looks great! What made you pick it?",,2,,,,100.0,20.0,512.0,2285.0245489998997,2079.1091189994404,205.9154300004593,45852000,139427000,0.0,0.0,0.0,274432.0,4111,235386,0,0.0,8753,0.00079239,8753,0.00079239,,,
mem0_conv0_constrained,2026-05-03T14:23:49.120097+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,30,[2023-05-25T13:14:00+00:00] Caroline: I chose them 'cause they help LGBTQ+ folks with adoption. Their inclusivity and su,,2,,,,100.0,20.0,512.0,2496.738865000225,2290.8956559995204,205.84320900070452,8568000,148917000,0.0,0.0,0.0,102400.0,2220,635288,0,0.0,8779,0.0008115,8779,0.0008115,,,
mem0_conv0_constrained,2026-05-03T14:23:51.894566+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,31,"[2023-05-25T13:14:00+00:00] Melanie: That's great, Caroline! Loving the inclusivity and support. Anything you're excited",,2,,,,100.0,20.0,512.0,2773.8637649999873,2567.9517369999303,205.91202800005703,46804000,156469000,0.0,0.0,0.0,442368.0,5255,236139,0,0.0,8756,0.00079506,8756,0.00079506,,,
mem0_conv0_constrained,2026-05-03T14:23:54.831881+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,32,[2023-05-25T13:14:00+00:00] Caroline: I'm thrilled to make a family for kids who need one. It'll be tough as a single pa,,2,,,,100.0,20.0,512.0,2936.6680880002605,2628.2636890000504,308.4043990002101,45284000,168377000,0.0,0.0,0.0,450560.0,2207,570438,0,0.0,8766,0.00080747,8766,0.00080747,,,
mem0_conv0_constrained,2026-05-03T14:23:56.859280+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,33,[2023-05-25T13:14:00+00:00] Melanie: You're doing something amazing! Creating a family for those kids is so lovely. You',,2,,,,100.0,20.0,512.0,2026.8023389999144,1820.7826170000772,206.0197219998372,9460000,132479000,0.0,0.0,0.0,98304.0,5325,235636,0,0.0,8717,0.00078754,8717,0.00078754,,,
mem0_conv0_constrained,2026-05-03T14:23:59.183284+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,34,"[2023-05-25T13:14:00+00:00] Caroline: Thanks, Melanie! Your kind words really mean a lot. I'll do my best to make sure t",,2,,,,100.0,20.0,512.0,2323.3766009998362,2118.3741410004586,205.0024599993776,8679000,152279000,0.0,0.0,0.0,81920.0,2102,570559,0,0.0,8759,0.00079917,8759,0.00079917,,,
mem0_conv0_constrained,2026-05-03T14:24:01.341990+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,35,"[2023-05-25T13:14:00+00:00] Melanie: No doubts, Caroline. You have such a caring heart - they'll get all the love and st",,2,,,,100.0,20.0,512.0,2158.0711199994767,1952.1333499997127,205.937769999764,44488000,136144000,0.0,0.0,0.0,438272.0,5341,236481,0,0.0,8751,0.00079404,8751,0.00079404,,,
mem0_conv0_constrained,2026-05-03T14:24:04.268881+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,36,[2023-06-09T19:55:00+00:00] Caroline: Hey Melanie! How's it going? I wanted to tell you about my school event last week.,,3,,,,100.0,20.0,512.0,2926.2611499998457,2720.359481999367,205.90166800047882,9818000,157353000,0.0,0.0,0.0,245760.0,2437,572779,0,0.0,8877,0.00081782,8877,0.00081782,,,
mem0_conv0_constrained,2026-05-03T14:24:06.721873+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,37,[2023-06-09T19:55:00+00:00] Melanie: Hey Caroline! Great to hear from you. Sounds like your event was amazing! I'm so pr,,3,,,,100.0,20.0,512.0,2452.366303999952,2247.0865760005836,205.27972799936833,45671000,141526000,0.0,0.0,0.0,389120.0,5481,205942,0,0.0,8874,0.00081591,8874,0.00081591,,,
mem0_conv0_constrained,2026-05-03T14:24:10.807218+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,38,"[2023-06-09T19:55:00+00:00] Caroline: Thanks, Mel! Your backing really means a lot. I felt super powerful giving my talk",,3,,,,100.0,20.0,512.0,4084.7171410005103,3879.84804000007,204.86910100044042,48078000,183312000,0.0,0.0,0.0,106496.0,4555,598116,0,0.0,9093,0.00140668,9093,0.00140668,,,
mem0_conv0_constrained,2026-05-03T14:24:18.367929+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,39,"[2023-06-09T19:55:00+00:00] Melanie: Wow, Caroline, you're doing an awesome job of inspiring others with your journey. I",,3,,,,100.0,20.0,512.0,7560.022869999557,7354.10072600007,205.92214399948716,62555000,243323000,0.0,0.0,0.0,299008.0,4446,541784,0,0.0,8975,0.00083674,8975,0.00083674,,,
mem0_conv0_constrained,2026-05-03T14:24:21.665634+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,40,"[2023-06-09T19:55:00+00:00] Caroline: Thanks Mel! Your kind words mean a lot. Sharing our experiences isn't always easy,",,3,,,,100.0,20.0,512.0,3297.093279999899,3092.1368210001674,204.9564589997317,47656000,162784000,0.0,0.0,0.0,274432.0,4430,244111,0,0.0,9017,0.00084542,9017,0.00084542,,,
mem0_conv0_constrained,2026-05-03T14:24:28.497414+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,41,"[2023-06-09T19:55:00+00:00] Melanie: Yeah, Caroline! It takes courage to talk about our own stories. But it's in these v",,3,,,,100.0,20.0,512.0,6831.150894999155,6625.7461109998985,205.40478399925632,55346000,249991000,0.0,0.0,0.0,323584.0,4507,731655,0,0.0,9280,0.00092907,9280,0.00092907,,,
mem0_conv0_constrained,2026-05-03T14:24:31.578760+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,42,[2023-06-09T19:55:00+00:00] Caroline: Your words mean a lot to me. I'm grateful for the chance to share my story and giv,,3,,,,100.0,20.0,512.0,3080.63374700032,2875.344144999872,205.2896020004482,46373000,154059000,0.0,0.0,0.0,299008.0,4320,244610,0,0.0,9108,0.00086031,9108,0.00086031,,,
mem0_conv0_constrained,2026-05-03T14:24:34.344718+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,43,"[2023-06-09T19:55:00+00:00] Melanie: Thanks, Caroline, for letting me join your journey. I'm so proud to be part of the ",,3,,,,100.0,20.0,512.0,2765.330525000536,2559.5096450006167,205.82087999991927,9734000,163478000,0.0,0.0,0.0,188416.0,2332,642347,0,0.0,9036,0.00084062,9036,0.00084062,,,
mem0_conv0_constrained,2026-05-03T14:24:37.468875+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,44,"[2023-06-09T19:55:00+00:00] Caroline: Yeah Mel, let's spread love and understanding! Thanks for the support and encourag",,3,,,,100.0,20.0,512.0,3123.513928999273,2918.6280929998247,204.88583599944832,47284000,165281000,0.0,0.0,0.0,450560.0,5286,530263,0,0.0,9030,0.00084419,9030,0.00084419,,,
mem0_conv0_constrained,2026-05-03T14:24:39.950240+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,45,"[2023-06-09T19:55:00+00:00] Melanie: Yes, Caroline! We can do it. Your courage is inspiring. I want to be couragous for ",,3,,,,100.0,20.0,512.0,2480.7477129998006,2275.782781000089,204.96493199971155,8604000,148933000,0.0,0.0,0.0,516096.0,2236,251330,0,0.0,9006,0.00083763,9006,0.00083763,,,
mem0_conv0_constrained,2026-05-03T14:24:43.695671+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,46,"[2023-06-09T19:55:00+00:00] Caroline: Thanks, Mel! My friends, family and mentors are my rocks – they motivate me and gi",,3,,,,100.0,20.0,512.0,3744.7696059998634,3539.6473090004292,205.12229699943418,48712000,179354000,0.0,0.0,0.0,147456.0,5498,511060,0,0.0,9112,0.00086658,9112,0.00086658,,,
mem0_conv0_constrained,2026-05-03T14:24:46.229953+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,47,"[2023-06-09T19:55:00+00:00] Melanie: Wow, that photo is great! How long have you had such a great support system?",,3,,,,100.0,20.0,512.0,2533.670496999548,2327.6544929995,206.01600400004827,45785000,151522000,0.0,0.0,0.0,360448.0,4156,297544,0,0.0,8993,0.00084241,8993,0.00084241,,,
mem0_conv0_constrained,2026-05-03T14:24:50.987523+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,48,"[2023-06-09T19:55:00+00:00] Caroline: Yeah, I'm really lucky to have them. They've been there through everything, I've k",,3,,,,100.0,20.0,512.0,4756.984957999521,4551.724900999943,205.2600569995775,50829000,198585000,0.0,0.0,0.0,352256.0,4427,698732,0,0.0,9116,0.00087468,9116,0.00087468,,,
mem0_conv0_constrained,2026-05-03T14:24:57.788984+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,49,[2023-06-09T19:55:00+00:00] Melanie: I'm lucky to have my husband and kids; they keep me motivated. [Sharing image that ,,3,,,,100.0,20.0,512.0,6800.799316999473,6595.570748999307,205.22856800016598,55386000,243511000,0.0,0.0,0.0,360448.0,4347,653179,0,0.0,9079,0.00089506,9079,0.00089506,,,
mem0_conv0_constrained,2026-05-03T14:25:00.031059+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,50,"[2023-06-09T19:55:00+00:00] Caroline: Wow, what an amazing family pic! How long have you been married?",,3,,,,100.0,20.0,512.0,2241.475679999894,1832.697914000164,408.77776599973004,8625000,149948000,0.0,0.0,0.0,499712.0,2094,240672,0,0.0,8818,0.00080188,8818,0.00080188,,,
mem0_conv0_constrained,2026-05-03T14:25:10.075936+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,51,"[2023-06-09T19:55:00+00:00] Melanie: 5 years already! Time flies- feels like just yesterday I put this dress on! Thanks,",,3,,,,100.0,20.0,512.0,10044.246772000406,9838.120016000175,206.12675600023067,103072000,288426000,0.0,0.0,0.0,421888.0,5522,546767,0,0.0,8878,0.00081134,8878,0.00081134,,,
mem0_conv0_constrained,2026-05-03T14:25:12.204093+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,52,"[2023-06-09T19:55:00+00:00] Caroline: Congrats, Melanie! You both looked so great on your wedding day! Wishing you many ",,3,,,,100.0,20.0,512.0,2127.5392829993507,1923.429821999889,204.1094609994616,45681000,150426000,0.0,0.0,0.0,131072.0,4400,522230,0,0.0,8809,0.00080141,8809,0.00080141,,,
mem0_conv0_constrained,2026-05-03T14:25:15.991317+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,53,"[2023-06-09T19:55:00+00:00] Melanie: Thanks, Caroline! Appreciate your kind words. Looking forward to more happy years. ",,3,,,,100.0,20.0,512.0,3786.5954239996427,3580.8713699998407,205.72405399980198,49771000,189779000,0.0,0.0,0.0,397312.0,4344,370393,0,0.0,8914,0.00083205,8914,0.00083205,,,
